company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,delay_minutes,ground_time_ratio,is_tight_ground,total_passengers,total_lap_children,total_child_passengers,total_stroller_users,total_basic_economy_pax,total_ssr_count,unique_pnr_count,child_passenger_ratio,basic_economy_ratio,ssr_per_passenger,stroller_ratio,avg_pax_per_pnr,total_bags,num_hot_transfer_bags,num_transfer_bags,load_factor,bags_per_passenger,hot_transfer_ratio
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04T21:04:00Z,2025-08-04 18:04:00+00:00,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,7.0,1.0,0,3.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.3333333333333333,1.0,1.0,1.0,42.0,16.0,36.0,0.039473684210526314,14.0,0.38095238095238093
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04T08:20:00Z,2025-08-03 18:27:00+00:00,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,22.0,1.5793103448275863,0,6.0,0.0,3.0,3.0,0.0,3.0,3.0,0.5,0.0,0.5,0.5,2.0,143.0,16.0,53.0,0.03592814371257485,23.833333333333332,0.11188811188811189
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10T21:35:00Z,2025-08-10 20:11:00+00:00,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,111.0,1.3529411764705883,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,39.0,0.0,0.0,0.011764705882352941
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06T21:04:00Z,2025-08-06 20:05:00+00:00,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,105.0,1.3103448275862069,0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.5,54.0,0.0,40.0,0.06,18.0,0.0
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05T21:29:00Z,2025-08-05 18:16:00+00:00,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,-4.0,1.411764705882353,0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,70.0,0.0,51.0,0.012048192771084338,35.0,0.0
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07T10:56:00Z,2025-08-07 08:36:00+00:00,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,-4.0,1.2941176470588236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,26.0,0.0,0.0,0.075
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15T17:49:00Z,2025-08-15 16:38:00+00:00,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,28.0,0.9534883720930233,0,7.0,0.0,3.0,3.0,0.0,3.0,3.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,2.3333333333333335,83.0,2.0,62.0,0.05555555555555555,11.857142857142858,0.024096385542168676
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15T17:26:00Z,2025-08-15 14:39:00+00:00,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,-1.0,2.0303030303030303,0,3.0,0.0,2.0,2.0,1.0,2.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.5,149.0,0.0,66.0,0.01282051282051282,49.666666666666664,0.0
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04T15:55:00Z,2025-08-03 13:15:00+00:00,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,25.0,2.6258064516129034,0,14.0,0.0,8.0,8.0,0.0,8.0,8.0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,1.75,348.0,15.0,246.0,0.0440251572327044,24.857142857142858,0.04310344827586207
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09T12:45:00Z,2025-08-09 09:24:00+00:00,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,10.0,1.9384615384615385,0,37.0,0.0,28.0,28.0,12.0,28.0,25.0,0.7567567567567568,0.32432432432432434,0.7567567567567568,0.7567567567567568,1.48,190.0,0.0,59.0,0.22289156626506024,5.135135135135135,0.0
